transecto,tempo,Henrique,Elildo,ambiente,Obs,S1,S2,B,grupo_max,total,Latitude,Longitude,Altitude,Data,Compriment,Azimute_Gr,Velocidade_km_h,id_view,FID_2,setor,aero,dens.observ
a2,t19,0,0,c,,0,0,0,0,0,1.32584776729,-50.5320140161,94,26/nov/2017 10:19:32,1543,180.217851927,185.18,a2t19,3,Piratuba_Noroeste,eurocopter,0
a2,t2,0,0,m,,0,0,0,0,0,1.55738451518,-50.5294090044,94,26/nov/2017 10:11:02,1601,182.702664243,192.18,a2t2,3,Piratuba_Noroeste,eurocopter,0
a2,t20,0,0,c,,0,0,0,0,0,1.3118068222,-50.5321260821,92,26/nov/2017 10:20:02,1553,180.460248861,186.32,a2t20,3,Piratuba_Noroeste,eurocopter,0
a2,t21,0,0,c,,0,0,0,0,0,1.29804784432,-50.53219188,98,26/nov/2017 10:20:32,1521,180.275771598,182.57,a2t21,0,Piratuba_Noroeste,eurocopter,0
a2,t22,0,0,c,,0,1,0,116,116,1.28389307298,-50.5323632061,103,26/nov/2017 10:21:02,1565,180.697956581,187.83,a2t22,0,Piratuba_Noroeste,eurocopter,239.875099517148
a2,t23,0,0,c,,0,0,0,0,0,1.26996905543,-50.5323215481,103,26/nov/2017 10:21:32,1540,179.827469948,184.76,a2t23,0,Piratuba_Noroeste,eurocopter,0
a2,t3,0,0,m,,0,0,0,0,0,1.54343057424,-50.5306765996,98,26/nov/2017 10:11:32,1549,185.223459211,185.93,a2t3,3,Piratuba_Noroeste,eurocopter,0
a2,t4,0,0,m,,0,0,0,0,0,1.52963194996,-50.5312879756,103,26/nov/2017 10:12:02,1527,182.553100387,183.28,a2t4,3,Piratuba_Noroeste,eurocopter,0
a2,t5,0,0,cm,,0,0,0,0,0,1.51568530127,-50.5319548398,103,26/nov/2017 10:12:32,1544,182.754979559,185.27,a2t5,3,Piratuba_Noroeste,eurocopter,0
a2,t6,0,0,c,,0,0,0,0,0,1.50180688128,-50.5325314309,101,26/nov/2017 10:13:02,1536,182.394217241,184.31,a2t6,3,Piratuba_Noroeste,eurocopter,0
a2,t7,0,0,m,,0,0,0,0,0,1.48832408711,-50.5324601009,111,26/nov/2017 10:13:32,1491,179.694944115,178.91,a2t7,3,Piratuba_Noroeste,eurocopter,0
a2,t8,0,0,cm,,0,0,0,0,0,1.47480625659,-50.5322084762,103,26/nov/2017 10:14:02,1495,178.926778321,179.4,a2t8,3,Piratuba_Noroeste,eurocopter,0
a2,t9,0,0,c,,0,0,0,0,0,1.46123352461,-50.5319302808,96,26/nov/2017 10:14:32,1501,178.818271783,180.14,a2t9,3,Piratuba_Noroeste,eurocopter,0
a3,t1,0,0,c,,0,0,0,0,0,1.26533227041,-50.5156426504,99,26/nov/2017 10:23:32,1340,13.7255114577,160.81,a3t1,0,Piratuba_ Araguari,eurocopter,0
a3,t10,0,0,c,,0,0,0,0,0,1.38233173639,-50.5114822928,100,26/nov/2017 10:28:02,1506,1.17731387965,180.77,a3t10,3,Piratuba_Noroeste,eurocopter,0
a3,t11,0,0,c,,0,0,0,0,0,1.39602089301,-50.511796698,106,26/nov/2017 10:28:32,1514,358.67582679,181.69,a3t11,3,Piratuba_Noroeste,eurocopter,0
a3,t12,0,0,c,,0,0,0,0,0,1.40926170163,-50.5116941035,101,26/nov/2017 10:29:02,1464,0.446794042119,175.7,a3t12,3,Piratuba_Noroeste,eurocopter,0
a3,t13,0,0,c,,0,0,0,0,0,1.4224217087,-50.5119868834,109,26/nov/2017 10:29:32,1456,358.717324882,174.67,a3t13,3,Piratuba_Noroeste,eurocopter,0
a3,t14,0,0,cm,,0,0,0,0,0,1.43572052009,-50.5118679442,113,26/nov/2017 10:30:02,1471,0.515705854087,176.47,a3t14,3,Piratuba_Noroeste,eurocopter,0
a3,t15,0,0,m,,0,0,0,0,0,1.44895110279,-50.5118608195,108,26/nov/2017 10:30:32,1463,0.0310514277015,175.56,a3t15,3,Piratuba_Noroeste,eurocopter,0
a3,t16,0,0,m,,0,0,0,0,0,1.46227547899,-50.5121204071,112,26/nov/2017 10:31:02,1474,358.876746611,176.84,a3t16,3,Piratuba_Noroeste,eurocopter,0
a3,t17,0,0,m,,0,0,0,0,0,1.47557135671,-50.5122048128,108,26/nov/2017 10:31:32,1470,359.633947825,176.43,a3t17,3,Piratuba_Noroeste,eurocopter,0
a3,t18,0,0,m,,0,0,0,0,0,1.48867738433,-50.512133399,96,26/nov/2017 10:32:02,1449,0.314194082071,173.91,a3t18,3,Piratuba_Noroeste,eurocopter,0
a3,t19,0,0,,,0,0,0,0,0,1.50174175389,-50.5120360013,100,26/nov/2017 10:32:32,1445,0.429873566639,173.36,a3t19,3,Piratuba_Noroeste,eurocopter,0
a3,t2,0,0,c,,0,0,0,0,0,1.27803856507,-50.5143431202,92,26/nov/2017 10:24:02,1412,5.87720410004,169.49,a3t2,0,Piratuba_ Araguari,eurocopter,0
a3,t20,0,0,,,0,0,0,0,0,1.51507442817,-50.5119598098,97,26/nov/2017 10:33:02,1474,0.329511327439,176.91,a3t20,3,Piratuba_Noroeste,eurocopter,0
a3,t21,0,0,,,0,0,0,0,0,1.52834524401,-50.5118934251,91,26/nov/2017 10:33:32,1467,0.288436160276,176.09,a3t21,3,Piratuba_Noroeste,eurocopter,0
